"","idenpa","pais_nombre","sexo","edad","reeeduc_1","s18_a","s2","p16st","p5stgbs","p6stgbs","p40stgbs","p13stgbs_a","p13stgbs_b","p13st_c","p13st_d","p13st_f","p22st","p61st"
"1",32,"Argentina",2,67,5,5,4,6,4,5,4,4,4,2,4,4,1,1
"2",32,"Argentina",2,29,4,1,4,7,5,5,1,4,4,1,4,4,1,7
"3",32,"Argentina",1,71,4,1,4,5,4,5,1,4,3,3,4,4,1,10
"4",32,"Argentina",1,31,5,1,4,5,4,3,4,4,4,4,4,4,8,3
"5",32,"Argentina",1,28,5,3,4,5,4,4,3,3,4,3,3,3,5,4
"6",32,"Argentina",2,51,5,1,3,5,3,4,4,2,2,2,2,2,1,6
"7",32,"Argentina",2,77,7,5,3,3,3,3,1,2,3,2,2,4,1,2
"8",32,"Argentina",1,35,5,1,4,6,3,2,4,2,2,1,2,2,1,2
"9",32,"Argentina",1,26,5,3,3,7,3,4,2,3,4,3,4,4,10,6
"10",32,"Argentina",1,25,7,1,5,5,3,4,2,2,1,4,3,3,1,3
"11",32,"Argentina",2,73,4,5,4,3,5,5,4,3,1,4,4,2,3,5
"12",32,"Argentina",2,41,4,1,4,5,5,5,4,3,4,4,4,4,1,1
"13",32,"Argentina",1,22,5,3,4,4,5,5,2,3,2,3,4,3,6,5
"14",32,"Argentina",1,37,5,3,4,1,2,3,2,4,4,4,2,4,1,2
"15",32,"Argentina",2,38,7,2,3,5,5,5,2,3,3,3,4,4,4,7
"16",32,"Argentina",2,45,7,2,4,0,5,5,2,4,2,2,4,4,5,6
"17",32,"Argentina",2,29,5,2,3,5,3,5,4,3,1,3,3,4,5,5
"18",32,"Argentina",2,22,7,7,3,3,5,4,2,4,4,3,3,4,4,4
"19",32,"Argentina",1,43,2,4,5,5,5,5,4,4,4,1,4,4,3,5
"20",32,"Argentina",1,75,2,5,3,6,2,3,3,2,3,2,4,4,5,7
"21",32,"Argentina",1,50,4,3,4,8,4,4,1,1,3,4,3,3,10,7
"22",32,"Argentina",2,68,5,5,3,0,2,3,2,3,2,2,1,4,1,2
"23",32,"Argentina",1,20,5,1,3,5,4,4,4,3,1,1,2,2,5,2
"24",32,"Argentina",1,46,7,1,3,5,5,5,1,3,2,3,4,3,1,2
"25",32,"Argentina",2,26,6,3,4,2,3,4,2,3,3,4,2,2,1,2
"26",32,"Argentina",1,43,5,3,3,5,4,3,4,1,1,2,3,2,1,1
"27",32,"Argentina",2,80,5,5,3,4,3,3,1,3,3,2,3,3,2,1
"28",32,"Argentina",1,75,5,5,3,5,4,4,2,3,2,4,3,2,2,2
"29",32,"Argentina",2,40,5,1,3,1,5,5,3,2,3,1,3,4,6,1
"30",32,"Argentina",1,34,7,3,4,8,4,3,2,2,2,2,3,2,3,3
"31",32,"Argentina",2,39,6,1,3,5,4,3,3,2,2,3,2,2,1,3
"32",32,"Argentina",1,18,5,3,3,-1,4,3,4,2,2,3,2,2,2,1
"33",32,"Argentina",1,61,5,1,3,5,2,2,1,3,3,3,2,2,3,2
"34",32,"Argentina",1,77,5,5,4,5,5,4,4,4,3,3,3,3,1,5
"35",32,"Argentina",1,53,7,1,3,2,5,4,3,2,2,2,3,3,1,1
"36",32,"Argentina",2,20,5,2,3,3,3,4,3,3,3,3,2,2,2,1
"37",32,"Argentina",2,33,7,3,4,97,4,4,3,4,4,4,4,4,1,1
"38",32,"Argentina",2,47,6,6,4,97,5,4,4,-1,4,3,3,3,10,1
"39",32,"Argentina",1,73,2,1,3,5,5,5,4,4,4,4,4,4,1,1
"40",32,"Argentina",2,62,5,1,3,7,3,3,1,4,3,1,4,4,1,5
"41",32,"Argentina",2,45,2,6,5,5,4,4,4,3,4,1,3,3,2,2
"42",32,"Argentina",2,57,2,4,5,97,4,4,4,3,4,4,4,4,2,1
"43",32,"Argentina",2,26,5,3,4,6,4,3,3,2,2,1,3,3,3,4
"44",32,"Argentina",1,25,2,3,4,6,4,4,4,3,3,4,3,3,3,3
"45",32,"Argentina",1,32,7,3,-1,7,5,5,1,3,2,2,4,3,1,6
"46",32,"Argentina",1,66,4,5,5,5,5,5,1,1,2,4,4,2,1,1
"47",32,"Argentina",1,20,4,7,1,5,5,3,2,2,2,1,3,3,3,6
"48",32,"Argentina",1,45,4,1,3,5,3,5,4,4,2,3,4,4,3,4
"49",32,"Argentina",2,55,7,3,3,5,5,5,4,2,4,4,3,4,5,1
"50",32,"Argentina",1,60,5,1,4,0,4,5,1,3,3,4,4,4,1,3
"51",32,"Argentina",2,33,4,6,5,7,5,5,3,2,3,2,3,3,5,5
"52",32,"Argentina",2,85,5,5,3,10,4,4,2,2,2,2,3,3,4,3
"53",32,"Argentina",2,60,5,1,3,8,5,5,3,3,3,4,4,4,4,1
"54",32,"Argentina",2,18,4,7,4,5,4,5,4,3,3,3,4,4,1,5
"55",32,"Argentina",1,35,4,1,3,10,5,4,4,4,4,1,4,4,8,3
"56",32,"Argentina",1,35,5,1,4,5,3,3,1,4,4,4,4,4,1,4
"57",32,"Argentina",2,42,5,1,-1,97,4,5,4,1,1,1,4,3,8,5
"58",32,"Argentina",2,45,2,1,4,6,4,4,3,3,3,2,3,2,2,3
"59",32,"Argentina",1,42,5,3,4,8,4,3,4,3,3,3,2,2,5,3
"60",32,"Argentina",2,18,4,7,4,-1,5,5,4,2,2,1,-1,-1,1,6
"61",32,"Argentina",2,34,5,2,4,4,5,5,3,2,3,1,3,4,1,1
"62",32,"Argentina",1,18,4,7,3,5,4,3,2,2,2,1,2,3,7,7
"63",32,"Argentina",2,31,7,2,-1,97,3,5,4,1,1,4,3,3,1,1
"64",32,"Argentina",1,61,7,1,3,5,5,4,1,3,3,3,3,3,1,1
"65",32,"Argentina",1,50,5,2,5,5,4,5,4,2,4,4,4,4,10,1
"66",32,"Argentina",1,41,5,3,4,3,4,5,3,1,2,1,4,4,1,1
"67",32,"Argentina",2,72,7,5,3,8,3,2,1,2,4,2,4,4,7,3
"68",32,"Argentina",1,38,7,3,3,7,5,5,3,1,3,3,3,4,1,6
"69",32,"Argentina",2,60,7,3,3,97,4,5,4,1,1,1,3,4,1,1
"70",32,"Argentina",1,57,5,1,2,7,4,5,3,1,1,4,4,3,1,6
"71",32,"Argentina",2,83,4,5,2,6,4,4,3,2,2,4,3,2,3,7
"72",32,"Argentina",2,25,4,1,3,6,5,5,4,3,4,4,4,2,1,2
"73",32,"Argentina",2,75,2,5,4,97,5,3,4,4,2,2,4,4,1,8
"74",32,"Argentina",1,55,7,3,4,3,4,4,3,4,4,4,4,3,5,2
"75",32,"Argentina",1,41,7,3,3,5,3,4,4,2,1,2,2,2,1,6
"76",32,"Argentina",2,18,6,7,3,6,4,4,3,3,3,2,3,3,6,3
"77",32,"Argentina",1,36,4,3,3,3,5,5,3,4,2,2,4,2,5,3
"78",32,"Argentina",2,22,5,7,5,7,5,5,4,3,2,2,3,3,7,5
"79",32,"Argentina",2,43,5,1,3,5,2,3,2,3,2,2,2,2,2,2
"80",32,"Argentina",2,36,7,1,4,5,5,5,4,3,3,3,4,3,6,2
"81",32,"Argentina",1,38,2,3,4,5,3,5,4,4,4,1,4,4,5,7
"82",32,"Argentina",1,40,5,1,4,5,5,5,3,4,4,4,4,-1,10,1
"83",32,"Argentina",2,38,7,1,2,7,4,4,3,2,2,3,3,2,1,8
"84",32,"Argentina",1,35,5,3,3,6,4,4,3,3,3,4,4,2,5,5
"85",32,"Argentina",2,33,4,3,3,3,3,4,2,3,3,4,3,1,6,7
"86",32,"Argentina",1,71,4,5,3,5,4,4,3,2,2,1,3,2,5,6
"87",32,"Argentina",1,50,5,3,3,6,3,3,2,2,2,1,2,2,1,4
"88",32,"Argentina",1,54,7,3,3,7,4,3,2,4,4,4,4,4,6,5
"89",32,"Argentina",1,19,6,1,3,4,3,3,3,2,2,4,4,2,7,6
"90",32,"Argentina",2,21,6,3,5,4,4,4,2,2,3,3,3,3,1,1
"91",32,"Argentina",2,20,6,3,1,8,5,4,3,1,1,4,2,3,1,1
"92",32,"Argentina",2,60,7,5,3,7,5,5,3,2,2,1,3,3,1,3
"93",32,"Argentina",2,79,2,5,5,5,4,4,3,2,2,2,3,3,5,4
"94",32,"Argentina",2,57,6,1,4,1,5,4,2,2,1,2,3,3,4,5
"95",32,"Argentina",2,22,2,5,5,1,5,4,4,2,1,2,3,3,4,6
"96",32,"Argentina",2,28,7,2,5,4,4,4,3,1,1,4,2,2,5,1
"97",32,"Argentina",1,75,2,5,5,8,4,4,4,2,3,3,4,4,4,6
"98",32,"Argentina",1,55,5,1,3,5,4,4,3,3,4,3,2,3,7,7
"99",32,"Argentina",2,51,2,3,4,5,5,4,3,3,3,2,2,3,8,6
"100",32,"Argentina",2,28,5,1,3,0,5,3,3,3,3,4,3,2,1,1
"101",32,"Argentina",2,52,5,1,4,5,4,4,3,3,3,3,3,4,1,2
"102",32,"Argentina",1,40,5,2,3,5,2,3,4,3,3,3,3,3,10,10
"103",32,"Argentina",2,28,4,1,4,4,4,3,3,3,3,4,3,4,3,1
"104",32,"Argentina",1,24,7,1,4,6,5,4,2,3,2,3,3,2,3,1
"105",32,"Argentina",1,62,2,2,4,5,4,4,2,4,4,2,4,4,10,3
"106",32,"Argentina",1,27,6,3,3,6,4,4,3,2,2,3,3,3,5,5
"107",32,"Argentina",2,22,6,3,5,5,4,4,2,1,2,4,3,4,6,1
"108",32,"Argentina",2,22,4,7,3,5,5,4,2,3,4,4,4,4,6,10
"109",32,"Argentina",1,18,5,1,4,5,4,4,2,2,4,4,4,4,1,3
"110",32,"Argentina",2,36,5,1,5,5,5,4,3,3,3,4,3,4,1,1
"111",32,"Argentina",2,21,5,1,5,2,4,4,3,3,3,3,3,3,2,2
"112",32,"Argentina",2,35,4,3,3,7,3,4,2,3,2,4,4,3,6,6
"113",32,"Argentina",2,50,4,6,3,5,4,5,4,3,3,4,3,2,6,7
"114",32,"Argentina",1,21,6,4,4,4,5,5,3,3,2,2,3,2,4,7
"115",32,"Argentina",1,81,2,5,5,7,5,4,4,3,3,3,3,3,8,6
"116",32,"Argentina",1,41,5,1,-1,3,4,4,4,4,3,3,3,3,5,5
"117",32,"Argentina",2,28,6,6,3,6,4,3,3,4,3,2,3,2,8,7
"118",32,"Argentina",1,41,5,3,3,6,4,3,3,4,3,3,4,4,4,6
"119",32,"Argentina",1,28,2,1,4,6,4,3,3,3,2,3,3,2,6,7
"120",32,"Argentina",2,71,4,5,5,6,4,5,4,3,3,2,1,2,6,6
"121",32,"Argentina",1,50,4,1,4,7,3,3,3,2,3,4,3,3,6,6
"122",32,"Argentina",2,39,6,1,4,6,3,3,3,3,3,2,3,2,5,6
"123",32,"Argentina",1,29,7,1,4,5,3,3,3,3,2,1,3,2,8,7
"124",32,"Argentina",2,34,5,6,4,6,3,3,4,2,3,4,4,3,6,7
"125",32,"Argentina",2,41,5,1,4,6,3,3,3,3,2,2,3,3,8,7
"126",32,"Argentina",2,19,5,6,5,5,3,3,4,3,3,3,2,2,7,7
"127",32,"Argentina",1,42,2,1,3,7,4,3,3,2,3,3,2,3,6,6
"128",32,"Argentina",2,62,7,5,3,97,4,3,2,3,2,1,3,3,1,2
"129",32,"Argentina",1,19,2,4,4,8,4,4,3,3,3,4,3,3,6,6
"130",32,"Argentina",1,75,2,5,4,3,4,4,4,2,3,2,2,2,8,2
"131",32,"Argentina",1,51,6,3,3,7,3,3,2,2,3,2,2,3,6,4
"132",32,"Argentina",1,52,2,1,4,4,3,5,4,3,2,2,3,3,-1,1
"133",32,"Argentina",2,42,2,4,4,0,4,4,4,4,3,4,3,4,-1,-1
"134",32,"Argentina",2,25,7,3,4,6,5,5,3,2,3,2,3,2,1,1
"135",32,"Argentina",2,38,5,1,4,7,4,4,4,2,2,3,3,3,5,1
"136",32,"Argentina",1,62,2,1,4,8,4,4,4,1,2,3,3,3,7,1
"137",32,"Argentina",2,30,5,1,5,8,4,3,4,2,2,2,3,3,5,8
"138",32,"Argentina",2,40,7,1,3,7,4,5,4,2,3,3,4,3,7,1
